id,code,name,parent_id/id,user_type/id,type,reconcile
"marcos_l10n_do.default_chart_a_account_535","61135","Depreciación Maquinarias y Equipos","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_536","61136","Depreciación Otros Activos","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_537","61137","Amortización Mejoras en Propiedad Arrendada","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_538","61138","Amortización Gastos de Organización y Constitución","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_539","61139","Amortización Patentes y Derechos de Explotación","marcos_l10n_do.default_chart_a_account_530","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_541","6114","Alquileres","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_542","61141","Alquiler de Locales ","marcos_l10n_do.default_chart_a_account_541","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_543","61142","Alquiler de Equipos","marcos_l10n_do.default_chart_a_account_541","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_544","61143","Alquiler de Vehículos","marcos_l10n_do.default_chart_a_account_541","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_545","61144","Alquileres Generales","marcos_l10n_do.default_chart_a_account_541","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_546","6115","Honorarios por Servicios","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_547","611501","Honorarios por Servicios Profesionales Sociedades","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_548","611502","Honorarios por Servicios Profesionales Personas Físicas","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_549","611503","Comisiones por Venta a Terceros Personas Físicas","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_550","611504","Transporte y Acarreo","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_551","611505","Combustible y Lubricantes Vehículos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_552","611506","Combustible Planta Eléctrica","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_553","611507","Estadía Hoteles","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_554","611508","Gastos por Cuentas Malas","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_555","611509","Reparaciones de Edificio","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_556","611510","Reparaciones de Activos Fijos Categoría 2 y 3","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_557","611511","Mantenimiento de Activos Fijos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_558","611512","Promociones","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_559","611513","Publicidad","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_560","611514","Viáticos y Representación","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_561","611515","Patrocinio y aportes","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_562","611516","Participación en concursos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_563","611517","Material Gastable y Papelería","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_564","611518","Material de Limpieza","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_565","611519","Atenciones a Clientes","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_566","611520","Gastos de Correo y Envíos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_567","611521","Gastos Legales","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_568","611522","Seguridad Electrónica","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_569","611523","Guardianes y Vigilancia","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_570","611524","Fumigación y Control de Plagas","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_571","611525","Suscripciones y Membresías","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_572","611526","Donaciones","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_573","611527","Gastos de Representación","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_574","611528","Pérdida por Obsolescencia de Inventarios","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_575","611529","Pérdida en Venta de Inversiones","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_576","611530","Pérdida en Venta de Activos Fijos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_577","611531","Pérdida en Venta de Terreno","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_578","611532","Pérdida en Venta de Edificio","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_579","611533","Pérdida en Venta de Mobiliario y Equipos de Oficina","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_580","611534","Pérdida en Venta de Maquinarias y Equipos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_581","611535","Pérdida en Venta de Otros Activos Fijos","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_582","611536","Pérdida en Participación Patrimonial en Subsidiarias","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_583","611537","Pérdida en Indemnización de Seguros","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_584","611538","Consulta de Datos e Formación Crediticia","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_585","6116","Gastos No Deducible ISR","marcos_l10n_do.default_chart_a_account_706","account.account_type_expense_view1","Vista","False"
"marcos_l10n_do.default_chart_a_account_722","61160","Otras Deducciones Admitidas","marcos_l10n_do.default_chart_a_account_546","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_586","61161","Impuesto de Fiscalización","marcos_l10n_do.default_chart_a_account_585","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_587","61162","Retenciones de Impuesto sobre la Rentas Asumidas","marcos_l10n_do.default_chart_a_account_585","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_588","61163","Penalidades, Mora e Interés Indemnizatorios","marcos_l10n_do.default_chart_a_account_585","account.data_account_type_expense","Regular","False"
"marcos_l10n_do.default_chart_a_account_589","61164","Gastos Sin Comprobantes No Admitidos","marcos_l10n_do.default_chart_a_account_585","account.data_account_type_expense","Regular","False"
